"","x"
"115","METRIBUZIN"
"116","PROPICONAZOLE"
"117","SAFLUFENACIL"
"118","TEMBOTRIONE"
"119","TRIBENURON METHYL"
"120","CAPTAN"
"121","DIURON"
"122","TRICLOPYR"
"123","2,4-D"
"124","AZOXYSTROBIN"
"125","CARFENTRAZONE-ETHYL"
"126","CLOPYRALID"
"127","CYHALOTHRIN-LAMBDA"
"128","ETHALFLURALIN"
"129","FOMESAFEN"
"130","IMIDACLOPRID"
"131","METCONAZOLE"
"132","NICOSULFURON"
"133","PROTHIOCONAZOLE"
"134","SETHOXYDIM"
"135","THIAMETHOXAM"
"136","TRIFLOXYSTROBIN"
"137","CHLORSULFURON"
"138","FLUROXYPYR"
"139","PICLORAM"
"140","2,4-DB"
"141","BACILLUS FIRMUS"
"142","CHLORANTRANILIPROLE"
"143","CLOTHIANIDIN"
"144","DICAMBA"
"145","FLUDIOXONIL"
"146","GLUFOSINATE"
"147","MANCOZEB"
"148","METOLACHLOR"
"149","PARAQUAT"
"150","PYRACLOSTROBIN"
"151","SIMAZINE"
"152","THIENCARBAZONE-METHYL"
"153","TRIFLURALIN"
"154","DIFENOCONAZOLE"
"155","FLUTRIAFOL"
"156","MALATHION"
"157","ABAMECTIN"
"158","BENTAZONE"
"159","CHLOROTHALONIL"
"160","COPPER HYDROXIDE"
"161","DIFLUFENZOPYR"
"162","FLUMETSULAM"
"163","GLYPHOSATE"
"164","MEFENOXAM"
"165","PENDIMETHALIN"
"166","PYROXASULFONE"
"167","SULFENTRAZONE"
"168","THIFENSULFURON"
"169","ZETA-CYPERMETHRIN"
"170","DIMETHENAMID-P"
"171","METSULFURON"
"172","ACETOCHLOR"
"173","BIFENTHRIN"
"174","CHLORPYRIFOS"
"175","CYFLUTHRIN"
"176","DIMETHENAMID & DIMETHENAMID-P"
"177","FLUMIOXAZIN"
"178","HALOSULFURON"
"179","MESOTRIONE"
"180","METOLACHLOR-S"
"181","PERMETHRIN"
"182","RIMSULFURON"
"183","TEBUCONAZOLE"
"184","THIOPHANATE-METHYL"
"185","AMINOPYRALID"
"186","DIMETHOATE"
"187","SULFUR"
"188","avg_tthm_levels"
"189","avg_PCE_levels"
"190","avg_atrazine_levels"
"191","avg_dehp_levels"
"192","avg_nitrate_levels"
"193","avg_arsenic_levels"
"194","BWD"
"195","AWD"
"196","HWD"
"197","NWWD"
"198","BWI"
"199","AWI"
"200","HWI"
"201","NWWI"
"202","H"
"203","female_jail_pop_rate"
"204","male_jail_pop_rate"
"205","aapi_jail_pop_rate"
"206","black_jail_pop_rate"
"207","latinx_jail_pop_rate"
"208","native_jail_pop_rate"
"209","white_jail_pop_rate"
"210","total_jail_adm_rate"
"211","total_jail_pretrial_rate"
"212","white_black_jail_pop_rate"
"213","white_aapi_jail_pop_rate"
"214","white_latinx_jail_pop_rate"
"215","white_native_jail_pop_rate"
"216","white_pop_15to64_ratio"
"217","total_pop_15to64_ratio"
"218","female_pop_15to64_ratio"
"219","male_pop_15to64_ratio"
"220","aapi_pop_15to64_ratio"
"221","black_pop_15to64_ratio"
"222","latinx_pop_15to64_ratio"
"223","native_pop_15to64_ratio"
"224","sr_unemp_bw"
"225","sr_managerial_bw"
"226","blackwhite"
"227","hispblack"
"228","blackhisp"
"229","sr_unemp_hw"
"230","sr_managerial_hw"
"231","otherwhite"
"232","whiteother"
"233","otherhisp"
"234","sr_poverty_bw"
"235","sr_incarceration_bw"
"236","hispwhite"
"237","blackother"
"238","hisphisp"
"239","sr_college_hw"
"240","whitewhite"
"241","otherblack"
"242","whitehisp"
"243","h"
"244","blackblack"
"245","hispother"
"246","sr_poverty_hw"
"247","sr_incarceration_hw"
"248","whiteblack"
"249","otherother"
"250","sum_housing_risk"
"251","total"
"252","age_39"
"253","age40_59"
"254","age60_79"
"255","age80_99"
"256","weighted_housing"
"257","weighted_poverty"
"258","leadriskscore_raw"
"259","decile"
"260","Chromium (hexavalent)"
"261","Perfluorinated chemicals"
"262","Total trihalomethanes (TTHMs)"
"263","Bromodichloromethane"
"264","Chloroform"
"265","Dichloroacetic acid"
"266","Trichloroacetic acid"
"267","Radiological contaminants"
"268","Manganese"
"269","Dibromochloromethane"
"270","Tetrachloroethylene (perchloroethylene)"
"271","Haloacetic acids (HAA5)"
"272","Arsenic"
"273","Atrazine"
"274","Chlorate"
"275","Chlorite"
"276","Bromoform"
"277","Nitrate"
"278","Nitrate and nitrite"
